_id,Neighborhood,Sector #,Population (2010),Land Area (acres),Residential,Mixed Use / Commercial,Mixed Use / Industrial,Institutional / Edu. / Med.,Open Space,Hillside,Special Land Use
11,Bluff,15,6600,209.280000000000001136868377216160297393798828125,0.0736223369038890018689613725655362941324710845947265625,0.1807429136829580007539419739259756170213222503662109375,0.1863999279986360002592249429653747938573360443115234375,0.318085563039683993924455762680736370384693145751953125,0,0.1639505824836340053263228355717728845775127410888671875,0.0771986758911979986663709496497176587581634521484375
12,Bon Air,6,808,200.31999999999999317878973670303821563720703125,0.38268092200812997560888106818310916423797607421875,0.044021338424931999444567054524668492376804351806640625,0.084113458568915000501675649502431042492389678955078125,0,0.48523561943100601556722040186286903917789459228515625,0.00394866156701700020403844604288678965531289577484130859375,0
13,Brighton Heights,2,7247,714.8799999999999954525264911353588104248046875,0.5943189327138049815602016678894869983196258544921875,0.0330549885477740001960000881808809936046600341796875,0.050677454614651000486258425326013821177184581756591796875,0,0.054740508048595003243175227680694661103188991546630859375,0.267208116075174972881001167479553259909152984619140625,0
14,Brookline,5,13214,1332.48000000000001818989403545856475830078125,0.71631702600921098866848524266970343887805938720703125,0.04071631995841699935834157031422364525496959686279296875,0.0249806194568359986318828447338091791607439517974853515625,0,0.0729971390690880017615427277632988989353179931640625,0.1439377830461499863101693108546896837651729583740234375,0.00105111246029799989924746750347139823134057223796844482421875
15,California-Kirkbride,3,761,138.8799999999999954525264911353588104248046875,0.29890877132740001353994330202112905681133270263671875,0.01534303424980099951613343733924921252764761447906494140625,0.362101323310379974440564865290070883929729461669921875,0,0.323646871112419021176975775233586318790912628173828125,0,0
16,Carrick,5,10113,1070.720000000000027284841053187847137451171875,0.65161370088741998873871352770947851240634918212890625,0.050203570061827997028647274646573350764811038970947265625,0.0323141315163660014508906215269234962761402130126953125,0,0.2639928632807799768755785407847724854946136474609375,0,0.00187101454251399992347038025997107979492284357547760009765625
17,Central Business District,16,3629,409.6000000000000227373675443232059478759765625,0.00000376856132599999990435393933119190279512622510083019733428955078125,0,0.004115876528127999749162579945505058276467025279998779296875,0,0.09107782750302499674699419074386241845786571502685546875,0.00117364987862499992911369250947473119595088064670562744140625,0.90362887752889597958727563309366814792156219482421875
18,Central Lawrenceville,13,4482,616.3200000000000500222085975110530853271484375,0.206125324136684995313117951809545047581195831298828125,0.048723214704072002889656545221441774629056453704833984375,0.1611899820340000066831720459958887659013271331787109375,0.0193918732514869983363237082585328607819974422454833984375,0.5645648072640050418868895576451905071735382080078125,0.0000047986097509999995797970971656010163997052586637437343597412109375,0
19,Central Northside,3,2923,165.759999999999990905052982270717620849609375,0.60790424044646396151136968910577706992626190185546875,0.09554213429897000231516557278155232779681682586669921875,0.144962765385026004505419905399321578443050384521484375,0.10343909400891200534022829060631920583546161651611328125,0.000785005526446000043670758739011716897948645055294036865234375,0.047366760334183001523999934079256490804255008697509765625,0
20,Central Oakland,14,6086,179.840000000000003410605131648480892181396484375,0.462399594984999995350705148666747845709323883056640625,0.01017146897190799974264319160965897026471793651580810546875,0,0.10301886587308499432236175152866053394973278045654296875,0.1619373045941809863279559067450463771820068359375,0.0353618907346290034521274492362863384187221527099609375,0.2271108748411969913139074606078793294727802276611328125
21,Chartiers City,4,477,84.4800000000000039790393202565610408782958984375,0.73003762048415199448214707445004023611545562744140625,0,0.047284138560930000227955360969644971191883087158203125,0,0.2224061169058889897431896542911999858915805816650390625,0.0002721240490289999884067351221261787941330112516880035400390625,0
